Summary,Issue key,Issue id,Issue Type,Status,,Project name,Project type,Project lead id,Project description,Priority,Assignee,Reporter,Creator,Created,Completed ,Due date,Watchers
Took Followuo from HR(Nimisha) 1)Atul & Kewal 2) Ajay ,KAN-37,10291,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,12-06-2026 18:52,21-07-2026 14:16,11-06-2026 00:00,CTD
Register for GenW.AI academy,KAN-35,10241,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,,CTD,CTD,12-06-2026 18:55,21-07-2026 14:16,,CTD
Connect with Harshvardhan for for West Bengal EOI,KAN-29,10105,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,12-06-2026 11:10,21-07-2026 14:16,11-06-2026 00:00,CTD
Add deloitte branding theme (Black & Green) on UI,KAN-28,10072,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,10-06-2026 14:49,21-07-2026 14:16,10-06-2026 00:00,CTD
Work with Lokesh for getting 12% GSTN 2.0 impact cases. Specially in cement sector.,KAN-38,10292,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,10-06-2026 12:47,21-07-2026 14:16,10-06-2026 00:00,CTD
Connect with Riddhima for her feedback on RAID,KAN-25,10069,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,,CTD,CTD,15-06-2026 15:10,21-07-2026 14:16,,CTD
Create Action plan PPT (slide 13) from draft,KAN-39,10325,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,,CTD,CTD,15-06-2026 15:11,21-07-2026 14:16,,CTD
Run React app on GCP,KAN-41,10327,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,11-06-2026 10:48,21-07-2026 14:16,11-06-2026 00:00,CTD
Task inspiration of Feedback portal (Kaushiki) from assam and design how we'll implement.,KAN-32,10174,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,CTD,CTD,13-07-2026 13:10,21-07-2026 14:16,09-07-2026 00:00,CTD
Update Action plan ppt from pdf's (CM APR). Create excel sheet from the 2 .pdf's given,KAN-40,10326,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,vkush68,vkush68,vkush68,13-07-2026 13:22,21-07-2026 14:16,,vkush68
